user id,music service,music collection
user1632,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Artist
user2704,Youtube,By Artist
user3805,Radio,By Artist
user5052,Youtube,By Theme
user5079,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Artist
user5651,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Artist
user5929,Youtube,By Artist
user6040,"Purchased - Digital (iTunes, Amazon,...)",By Genre
user7288,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Theme
user7425,"Purchased - Digital (iTunes, Amazon,...)",By Artist
user7464,Youtube,By Theme
user7531,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Genre
user7757,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Artist
user7924,Youtube,By Artist
user8093,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Album
user8253,"Streaming Subscription (Spotfiy, Google Music, Tidal,...)",By Genre
user9669,Youtube,By Genre
